booking_id,pnr,route_id,from_city,to_city,provider,train_name,train_type,journey_type,booking_date,travel_date,days_until_departure,weekday,is_weekend,is_peak_season,departure_time,arrival_time,duration,duration_minutes,available_seats_at_booking,total_seats,occupancy_rate_at_booking,demand_level,delay_minutes,wifi,class_type,passenger_type,seat_number,booking_channel,base_price_at_booking,paid_price,currency,booking_status
PBK000037,PNR266889,ER0500,Milan,Zurich,SBB,InterCity 9368,InterCity,Connection,2026-02-15,2026-04-16,60,3,0,0,09:05,11:26,2h 21m,141,134,450,0.7,5,15,Yes,First Class,regular,18D,api_partner,132.77,132.77,EUR,Confirmed
PBK000038,PNR848206,ER0386,London,Brussels,DB+ÖBB,ICE+Railjet 1374,ICE+Railjet,Connection,2025-08-19,2025-09-22,34,0,0,0,17:10,21:01,3h 51m,231,42,300,0.857,7,15,Yes,Standard,regular,15A,agent_portal,171.17,171.17,EUR,Confirmed
PBK000039,PNR446954,ER0778,Zurich,Vienna,SJ,InterCity 8089,InterCity,Direct,2025-06-21,2025-08-01,41,4,0,1,13:50,18:02,4h 12m,252,6,300,0.98,10,0,Yes,First Class,senior,14D,web,207.87,170.45,EUR,Confirmed
PBK000040,PNR468845,ER0328,Munich,Vienna,Eurostar+SNCF,Eurostar+TGV 8288,Eurostar+TGV,Connection,2025-02-01,2025-02-28,27,4,0,0,18:55,22:23,3h 28m,208,64,600,0.892,6,20,No,Standard,youth,16A,api_partner,163.2,140.35,EUR,Confirmed
PBK000041,PNR130434,ER0572,Zurich,Vienna,Eurostar+SNCF,Eurostar+TGV 5389,Eurostar+TGV,Connection,2026-03-13,2026-07-06,115,0,0,1,08:35,13:38,5h 3m,303,51,450,0.885,10,0,Yes,Standard,regular,14D,agent_portal,197.15,197.15,EUR,Confirmed
PBK000042,PNR242291,ER0072,Lyon,Barcelona,SBB,IR 7466,IR,Direct,2025-12-14,2026-03-27,103,4,0,0,16:40,19:49,3h 9m,189,193,300,0.356,2,10,Yes,Standard,youth,3D,web,85.14,73.22,EUR,Confirmed
PBK000043,PNR593152,ER0934,Munich,Vienna,SJ,InterCity 3258,InterCity,Direct,2025-05-14,2025-07-02,49,2,0,1,18:50,21:09,2h 19m,139,145,600,0.757,6,5,Yes,Standard,senior,9A,api_partner,168.16,137.89,EUR,Confirmed
PBK000044,PNR350132,ER0101,Lyon,Barcelona,ÖBB,Nightjet 1891,Nightjet,Connection,2025-01-27,2025-03-13,45,3,0,0,18:40,00:44,6h 4m,364,147,450,0.673,3,30,Yes,Standard,child,1B,mobile_app,144.48,79.46,EUR,Confirmed
PBK000045,PNR706794,ER0156,Amsterdam,Berlin,PKP,IC 9312,IC,Direct,2025-02-28,2025-05-12,73,0,0,0,10:40,13:55,3h 15m,195,57,220,0.737,7,10,Yes,Standard,senior,10A,mobile_app,132.66,108.78,EUR,Cancelled
PBK000046,PNR934904,ER0644,Munich,Vienna,Eurostar+SNCF,Eurostar+TGV 6393,Eurostar+TGV,Connection,2025-10-22,2026-01-17,87,5,1,0,19:05,21:35,2h 30m,150,67,520,0.87,8,0,Yes,First Class,regular,20A,agent_portal,145.92,145.92,EUR,Confirmed
PBK000047,PNR766459,ER0831,Warsaw,Berlin,Eurostar,Eurostar 5983,Eurostar,Direct,2025-06-27,2025-09-04,69,3,0,0,14:55,17:44,2h 49m,169,211,520,0.594,4,0,Yes,Standard,youth,14C,web,179.1,154.03,EUR,Confirmed
PBK000048,PNR971084,ER0948,Lisbon,Madrid,SNCF+DB,TER+ICE 8596,TER+ICE,Connection,2025-08-11,2025-09-03,23,2,0,0,15:00,19:15,4h 15m,255,66,380,0.824,6,20,No,Standard,regular,11B,agent_portal,183.44,183.44,EUR,Confirmed
PBK000049,PNR472060,ER0832,Milan,Venice,SNCB,EuroCity 8516,EuroCity,Direct,2025-08-19,2025-09-20,32,5,1,0,22:30,00:12,1h 42m,102,139,520,0.731,4,30,Yes,Standard,youth,16B,mobile_app,131.0,112.66,EUR,Confirmed
PBK000050,PNR824156,ER0833,Vienna,Prague,SNCF+DB,TGV+ICE 6713,TGV+ICE,Connection,2026-03-27,2026-06-12,77,4,0,1,06:35,09:03,2h 28m,148,79,180,0.556,5,0,Yes,Standard,regular,16B,api_partner,146.84,146.84,EUR,Confirmed
PBK000051,PNR546173,ER0603,Nice,Paris,SJ,X2000 6010,X2000,Connection,2025-09-09,2025-11-06,58,3,0,0,09:00,13:20,4h 20m,260,159,380,0.581,4,30,No,First Class,regular,16C,agent_portal,126.37,126.37,EUR,Confirmed
PBK000052,PNR874483,ER0123,Rome,Milan,SNCB,IC 1110,IC,Direct,2025-06-30,2025-09-28,90,6,1,0,19:40,22:07,2h 27m,147,134,300,0.552,5,0,No,Standard,regular,7B,mobile_app,116.97,116.97,EUR,Confirmed
PBK000053,PNR387636,ER0689,Paris,Berlin,Eurostar+SNCF,Eurostar+TGV 3965,Eurostar+TGV,Connection,2025-10-29,2026-02-04,98,2,0,0,19:05,23:24,4h 19m,259,286,380,0.247,1,0,No,Standard,regular,1B,agent_portal,70.92,70.92,EUR,Refunded
PBK000054,PNR457256,ER0263,Nice,Paris,ÖBB,Railjet 1587,Railjet,Connection,2025-10-11,2025-11-18,38,1,0,0,13:00,20:20,7h 20m,440,144,450,0.68,3,0,Yes,Standard,regular,16D,api_partner,175.98,175.98,EUR,Refunded
PBK000055,PNR224205,ER0198,Lyon,Barcelona,PKP,IC 5419,IC,Direct,2025-05-10,2025-08-29,111,4,0,1,21:25,00:22,2h 57m,177,163,220,0.256,1,30,Yes,First Class,regular,3B,agent_portal,79.09,79.09,EUR,Confirmed
PBK000056,PNR739244,ER0204,Marseille,Paris,DB+ÖBB,ICE+Railjet 3524,ICE+Railjet,Connection,2025-11-07,2026-01-23,77,4,0,0,14:00,18:55,4h 55m,295,79,220,0.638,5,5,Yes,First Class,regular,10A,api_partner,144.19,144.19,EUR,Confirmed
PBK000057,PNR405407,ER0394,Lyon,Barcelona,Eurostar+SNCF,Eurostar+TGV 2469,Eurostar+TGV,Connection,2026-01-26,2026-02-22,27,6,1,0,05:40,08:57,3h 17m,197,214,520,0.587,3,0,No,Standard,regular,15D,api_partner,127.64,127.64,EUR,Confirmed
PBK000058,PNR966785,ER0427,Paris,Berlin,DB+ÖBB,ICE+Railjet 6392,ICE+Railjet,Connection,2025-12-28,2026-02-03,37,1,0,0,20:25,01:34,5h 9m,309,213,520,0.589,2,0,Yes,Standard,regular,5C,mobile_app,140.42,140.42,EUR,Confirmed
PBK000059,PNR624783,ER0521,Madrid,Barcelona,SNCF,TGV INOUI 5673,TGV INOUI,Connection,2025-03-26,2025-07-06,102,6,1,1,22:40,03:12,4h 32m,272,88,520,0.83,9,0,Yes,First Class,regular,13C,agent_portal,209.43,209.43,EUR,Confirmed
PBK000060,PNR900177,ER0991,Hamburg,Munich,DB,IC 4716,IC,Direct,2025-02-11,2025-04-29,77,1,0,0,12:30,16:11,3h 41m,221,20,300,0.931,10,10,Yes,Standard,regular,9A,web,171.29,171.29,EUR,Confirmed
PBK000061,PNR449499,ER0052,Amsterdam,Berlin,SBB,EuroCity 7247,EuroCity,Connection,2025-11-30,2026-01-26,57,0,0,0,12:40,16:47,4h 7m,247,50,220,0.773,6,0,No,Standard,child,12D,api_partner,175.77,96.67,EUR,Confirmed
PBK000062,PNR221552,ER0235,Cologne,Frankfurt,SNCF+DB,TGV+ICE 4227,TGV+ICE,Connection,2026-03-16,2026-04-06,21,0,0,0,05:30,07:17,1h 47m,107,76,180,0.573,2,20,Yes,Standard,regular,9C,agent_portal,133.69,133.69,EUR,Confirmed
PBK000063,PNR313446,ER0154,Paris,Lyon,PKP,EIP 7191,EIP,Direct,2026-02-27,2026-02-28,1,5,1,0,21:10,22:55,1h 45m,105,33,380,0.913,6,0,Yes,Standard,regular,15A,api_partner,157.94,157.94,EUR,Confirmed
PBK000064,PNR679077,ER0391,Brussels,Cologne,SNCF,Intercités 6460,Intercités,Direct,2026-04-20,2026-05-27,37,2,0,0,08:20,09:34,1h 14m,74,125,520,0.758,6,45,Yes,Standard,senior,18A,agent_portal,137.27,112.56,EUR,Confirmed
PBK000065,PNR595158,ER0490,London,Paris,SJ,X2000 8050,X2000,Connection,2026-03-07,2026-07-02,117,3,0,1,16:50,21:14,4h 24m,264,52,380,0.863,10,10,No,Standard,regular,14D,agent_portal,190.56,190.56,EUR,Confirmed
PBK000066,PNR960408,ER0635,Vienna,Prague,SNCB,IC 4873,IC,Direct,2025-03-16,2025-05-05,50,0,0,0,06:50,08:20,1h 30m,90,93,300,0.689,4,0,No,Standard,regular,11C,api_partner,115.04,115.04,EUR,Confirmed
PBK000067,PNR297816,ER0021,Berlin,Frankfurt,Trenitalia,Intercity 8990,Intercity,Direct,2025-06-02,2025-09-18,108,3,0,0,12:30,14:55,2h 25m,145,324,450,0.279,1,0,Yes,First Class,regular,15C,api_partner,59.41,59.41,EUR,Confirmed
PBK000068,PNR232378,ER0464,Lisbon,Madrid,Renfe,Alvia 6143,Alvia,Direct,2025-07-16,2025-08-15,30,4,0,1,16:40,20:51,4h 11m,251,10,520,0.98,9,45,Yes,First Class,regular,16A,mobile_app,212.25,212.25,EUR,Refunded
PBK000069,PNR592296,ER1000,Zurich,Vienna,Eurostar+SNCF,Eurostar+TGV 596,Eurostar+TGV,Connection,2025-06-19,2025-10-09,112,3,0,0,20:30,01:08,4h 38m,278,109,520,0.79,10,10,No,Standard,senior,5A,api_partner,182.55,149.69,EUR,Confirmed
PBK000070,PNR747453,ER0876,Prague,Berlin,ÖBB,Nightjet 8348,Nightjet,Connection,2025-12-21,2026-02-10,51,1,0,0,22:50,02:03,3h 13m,193,65,220,0.703,4,5,Yes,Standard,child,18A,api_partner,149.68,82.32,EUR,Confirmed
PBK000071,PNR440131,ER0580,Berlin,Frankfurt,SBB,InterCity 3185,InterCity,Direct,2025-12-17,2026-04-14,118,1,0,0,11:25,14:10,2h 45m,165,308,450,0.315,3,15,No,Standard,regular,1A,agent_portal,99.43,99.43,EUR,Confirmed
PBK000072,PNR621841,ER0884,Berlin,Frankfurt,NS,Sprinter 4286,Sprinter,Connection,2025-07-11,2025-09-05,56,4,0,0,13:25,19:44,6h 19m,379,175,600,0.708,5,0,Yes,First Class,regular,20B,api_partner,176.4,176.4,EUR,Confirmed
PBK000073,PNR462351,ER0014,Munich,Vienna,SNCB,IC 9273,IC,Direct,2025-08-25,2025-11-15,82,5,1,0,06:25,09:17,2h 52m,172,71,180,0.606,6,0,Yes,First Class,regular,3D,mobile_app,137.77,137.77,EUR,Confirmed
PBK000074,PNR702733,ER0874,Madrid,Seville,SNCF,TER 9787,TER,Connection,2025-08-06,2025-11-03,89,0,0,0,14:15,19:03,4h 48m,288,69,180,0.615,6,30,Yes,Standard,regular,19C,api_partner,144.91,144.91,EUR,Refunded
PBK000075,PNR736553,ER0900,Hamburg,Munich,DB+ÖBB,ICE+Railjet 2594,ICE+Railjet,Connection,2025-06-01,2025-06-04,3,2,0,1,19:35,01:27,5h 52m,352,12,600,0.98,10,5,No,Standard,youth,10B,api_partner,240.81,207.1,EUR,Confirmed
PBK000076,PNR134985,ER0415,London,Brussels,PKP,EIP 2841,EIP,Direct,2025-04-08,2025-06-27,80,4,0,1,12:35,15:19,2h 44m,164,52,380,0.863,8,0,Yes,First Class,regular,10D,web,182.75,182.75,EUR,Confirmed
PBK000077,PNR964749,ER0712,Vienna,Prague,DB,IC 8866,IC,Direct,2025-03-09,2025-03-21,12,4,0,0,16:20,18:26,2h 6m,126,40,220,0.815,5,0,Yes,Standard,regular,6C,agent_portal,143.34,143.34,EUR,Refunded
PBK000078,PNR194689,ER0418,Zurich,Vienna,PKP,EIP 355,EIP,Direct,2025-06-01,2025-09-05,96,4,0,0,22:50,03:57,5h 7m,307,22,220,0.897,10,20,Yes,Standard,youth,18C,api_partner,152.33,131.0,EUR,Confirmed
PBK000079,PNR749641,ER0471,Milan,Zurich,SNCB,IC 5635,IC,Direct,2025-10-02,2025-10-18,16,5,1,0,18:55,20:28,1h 33m,93,34,380,0.91,6,0,Yes,First Class,regular,16A,mobile_app,162.24,162.24,EUR,Confirmed
PBK000080,PNR616554,ER0420,London,Brussels,SJ,InterCity 4971,InterCity,Direct,2025-11-09,2025-12-08,29,0,0,1,11:20,13:59,2h 39m,159,29,300,0.902,7,30,Yes,Standard,regular,2C,web,186.66,186.66,EUR,Confirmed
PBK000081,PNR974190,ER0020,Milan,Zurich,PKP,IC 7877,IC,Direct,2026-03-31,2026-06-08,69,0,0,1,21:30,22:38,1h 8m,68,7,380,0.98,10,30,Yes,Standard,regular,14A,mobile_app,191.2,191.2,EUR,Confirmed
PBK000082,PNR163491,ER0788,Prague,Berlin,Eurostar,Eurostar 8902,Eurostar,Direct,2025-05-24,2025-05-29,5,3,0,0,05:05,06:34,1h 29m,89,71,450,0.841,5,0,Yes,Standard,regular,18C,agent_portal,188.8,188.8,EUR,Confirmed
PBK000083,PNR925206,ER0023,Milan,Zurich,Eurostar,Eurostar 8937,Eurostar,Connection,2025-03-04,2025-06-21,109,5,1,1,17:20,19:35,2h 15m,135,69,380,0.817,10,5,No,First Class,regular,8B,agent_portal,229.37,229.37,EUR,Confirmed
PBK000084,PNR236306,ER0968,Munich,Vienna,SNCB,EuroCity 1186,EuroCity,Connection,2026-03-01,2026-06-07,98,6,1,1,10:30,13:08,2h 38m,158,94,300,0.686,6,10,Yes,First Class,senior,9B,web,141.67,116.17,EUR,Confirmed
PBK000085,PNR154944,ER0777,Milan,Zurich,Eurostar+SNCF,Eurostar+TGV 4255,Eurostar+TGV,Connection,2025-03-31,2025-04-15,15,1,0,0,12:00,14:26,2h 26m,146,28,220,0.872,7,10,Yes,Standard,regular,6C,web,161.45,161.45,EUR,Confirmed
PBK000086,PNR862569,ER0650,Hamburg,Munich,SNCF,TER 6844,TER,Direct,2025-09-27,2025-10-12,15,6,1,0,06:55,12:36,5h 41m,341,9,450,0.98,9,0,Yes,First Class,regular,20A,mobile_app,202.98,202.98,EUR,Confirmed
PBK000087,PNR437758,ER0112,Lyon,Barcelona,DB,ICE 2265,ICE,Connection,2025-08-23,2025-11-14,83,4,0,0,19:00,01:12,6h 12m,372,232,450,0.483,3,0,Yes,First Class,regular,3A,api_partner,146.59,146.59,EUR,Confirmed
PBK000088,PNR994217,ER0480,Paris,Lyon,SBB,IR 4768,IR,Direct,2025-03-06,2025-04-11,36,4,0,0,10:20,12:42,2h 22m,142,125,600,0.791,5,0,Yes,First Class,regular,4A,api_partner,139.24,139.24,EUR,Confirmed
PBK000089,PNR427730,ER0430,London,Paris,Eurostar+SNCF,Eurostar+TGV 2686,Eurostar+TGV,Connection,2026-01-29,2026-04-10,71,4,0,0,22:25,02:53,4h 28m,268,61,380,0.839,8,5,Yes,Standard,youth,14A,api_partner,151.03,129.89,EUR,Confirmed
PBK000090,PNR683397,ER0026,Stockholm,Copenhagen,SNCF+DB,TER+ICE 4332,TER+ICE,Connection,2025-05-11,2025-06-28,48,5,1,1,12:35,16:44,4h 9m,249,12,600,0.98,10,10,No,Standard,regular,12B,web,223.21,223.21,EUR,Confirmed
PBK000091,PNR468727,ER0651,Munich,Vienna,SNCF+DB,TGV+ICE 2273,TGV+ICE,Connection,2025-10-15,2025-12-26,72,4,0,1,13:05,15:18,2h 13m,133,92,380,0.756,7,0,Yes,Standard,youth,10C,web,188.35,161.98,EUR,Confirmed
PBK000092,PNR946432,ER0536,Hamburg,Munich,Eurostar,Eurostar 7290,Eurostar,Direct,2025-04-19,2025-05-09,20,4,0,0,09:20,13:17,3h 57m,237,32,520,0.937,8,0,Yes,Standard,regular,19B,agent_portal,239.45,239.45,EUR,Confirmed
PBK000093,PNR468074,ER0408,Nice,Paris,SBB,InterCity 3808,InterCity,Connection,2026-01-28,2026-05-13,105,2,0,0,19:35,23:45,4h 10m,250,286,450,0.364,2,10,Yes,Standard,regular,10C,agent_portal,95.51,95.51,EUR,Confirmed
PBK000094,PNR575682,ER0357,Paris,Amsterdam,SNCF+DB,TGV+ICE 2022,TGV+ICE,Connection,2025-03-15,2025-05-27,73,1,0,0,21:35,02:49,5h 14m,314,70,380,0.815,7,0,Yes,Standard,senior,13D,mobile_app,192.46,157.82,EUR,Confirmed
PBK000095,PNR564637,ER0471,Milan,Zurich,SNCB,IC 5635,IC,Direct,2025-06-09,2025-09-10,93,2,0,0,18:55,20:28,1h 33m,93,126,380,0.666,6,0,Yes,First Class,regular,3C,web,123.03,123.03,EUR,Confirmed
PBK000096,PNR147623,ER0103,Copenhagen,Hamburg,Renfe,Avant 5720,Avant,Direct,2025-11-07,2026-01-03,57,5,1,0,19:25,23:04,3h 39m,219,41,380,0.891,8,0,Yes,Standard,regular,17C,api_partner,175.46,175.46,EUR,Confirmed
PBK000097,PNR883301,ER0904,Amsterdam,Berlin,Trenitalia,Frecciarossa 3816,Frecciarossa,Direct,2025-11-03,2025-11-11,8,1,0,0,17:10,19:49,2h 39m,159,39,520,0.925,7,0,No,Standard,regular,1D,web,182.94,182.94,EUR,Confirmed
PBK000098,PNR582087,ER0998,Brussels,Amsterdam,SNCF,TGV INOUI 2576,TGV INOUI,Connection,2025-07-14,2025-09-21,69,6,1,0,19:00,21:21,2h 21m,141,35,380,0.906,8,15,Yes,Standard,regular,14A,web,163.31,163.31,EUR,Confirmed
