route_id,from_city,to_city,date,provider,train_name,train_type,departure_station,arrival_station,departure_time,arrival_time,duration,journey_type,connection_city,connection_wait,available_seats,total_seats,base_price,senior_price,youth_price,child_price,currency,class_options,wifi,power_socket,meal_service,baggage_rule,refund_rule,change_policy,pet_policy,platform_info,boarding_requirement,carbon_kg,delay_minutes,status
ER0027,Amsterdam,Paris,2026-05-16,Eurostar,Eurostar 6661,Intercity,Amsterdam Centraal,Paris Montparnasse,07:25,10:59,3h 34m,Direct,None,None,0,420,29,23,24,15,EUR,Standard;Comfort,No,No,Snack service,2 bags allowed,Refundable with fee,Flexible fare available,Small pets allowed,Announced 20 min before,Arrive 60 min early,35,0,Cancelled
ER0028,Paris,Barcelona,2026-05-10,SNCF,OUIGO 5191,International,Paris Gare de Lyon,Barcelona Sants,07:15,15:50,8h 35m,Connection,Geneva,30m,0,634,245,204,202,123,EUR,Second Class;First Class,Yes,No,No,2 bags + 1 cabin bag,Refundable depending on fare,Change with fee,Small pets allowed,Announced 15 min before,Arrive 30 min early,30,0,Cancelled
ER0029,Amsterdam,Paris,2026-05-24,Eurostar,Eurostar 4734,Night Train,Amsterdam Centraal,Paris Montparnasse,09:35,15:35,6h 00m,Direct,None,None,159,380,125,99,99,60,EUR,Second Class;First Class,Yes,No,Yes,1 cabin bag included,Refundable depending on fare,No change allowed,Pets not allowed,Announced 30 min before,Arrive 20 min early,35,10,Available
ER0030,Paris,Nice,2026-05-12,SNCF,TGV INOUI 7313,High-Speed,Paris Gare de Lyon,Nice-Ville,05:55,08:33,2h 38m,Direct,None,None,3,634,149,125,117,85,EUR,Standard;Comfort,No,No,Business only,Large baggage chargeable,Refundable up to 24h,Free change,Small pets allowed,Announced 30 min before,Arrive 30 min early,18,0,Limited
ER0031,Paris,Berlin,2026-05-16,SNCF,Intercités 2825,International,Paris Gare de l'Est,Berlin Hbf,06:25,12:39,6h 14m,Direct,None,None,82,380,200,165,155,97,EUR,Economy;Business,Limited,Yes,Cafe bar,Large baggage chargeable,Non-refundable,No change allowed,Guide dogs only,Announced 30 min before,Arrive 15 min early,33,5,Available
ER0032,Frankfurt,Vienna,2026-05-20,DB,IC 5761,Regional,Frankfurt Hbf,Wien Hbf,13:35,22:12,8h 37m,Direct,None,None,0,420,101,78,81,51,EUR,Standard;First Class,Limited,Limited,Yes,2 bags allowed,Refundable depending on fare,Flexible fare available,Small pets allowed,Announced 30 min before,Arrive 30 min early,18,0,Cancelled
ER0033,Berlin,Prague,2026-05-19,DB+CD,EC 745,Regional,Berlin Ostbahnhof,Praha hlavní nádraží,06:45,11:16,4h 31m,Connection,Marseille,45m,64,380,80,59,66,51,EUR,Economy;Business,Yes,No,Business only,1 cabin bag included,Refundable up to 24h,No change allowed,Pets allowed,Announced 15 min before,Arrive 20 min early,29,0,Available
ER0034,Vienna,Zurich,2026-05-15,ÖBB+SBB,Nightjet 8891,Regional,Wien Hbf,Zurich HB,16:50,00:38,7h 48m,Direct,None,None,183,500,160,132,131,91,EUR,Economy;Business,Yes,No,Business only,Large baggage chargeable,Refundable up to 24h,Change with fee,Pets allowed,Announced 15 min before,Arrive 30 min early,35,30,Available
ER0035,Paris,Barcelona,2026-05-11,SNCF,OUIGO 6467,High-Speed,Paris Montparnasse,Barcelona Sants,18:45,02:30,7h 45m,Connection,Prague,30m,91,420,111,86,90,71,EUR,Standard;Comfort,No,Limited,Yes,Large baggage chargeable,Non-refundable,Change with fee,Pets allowed,Announced 20 min before,Arrive 15 min early,17,20,Available
ER0036,Munich,Vienna,2026-05-10,ÖBB,Nightjet 4090,Intercity,München Hbf,Wien Hbf,07:40,10:51,3h 11m,Direct,None,None,57,300,29,22,26,18,EUR,Standard;First Class,Yes,Yes,Yes,1 cabin bag included,Refundable with fee,Flexible fare available,Pets allowed,Announced 15 min before,Arrive 30 min early,7,0,Available
ER0037,London,Paris,2026-05-21,Eurostar,Eurostar 1141,High-Speed,London St Pancras,Paris Montparnasse,16:40,23:08,6h 28m,Direct,None,None,177,500,116,98,102,64,EUR,Standard;First Class,Limited,No,Snack service,2 bags allowed,Refundable depending on fare,No change allowed,Pets allowed,Announced 15 min before,Arrive 30 min early,13,0,Available
ER0038,Paris,Amsterdam,2026-05-12,Eurostar,Eurostar 6340,International,Paris Gare de l'Est,Amsterdam Centraal,21:45,02:50,5h 05m,Direct,None,None,302,634,84,66,74,44,EUR,Second Class;First Class,Yes,Limited,Snack service,1 cabin bag included,Non-refundable,Flexible fare available,Small pets allowed,Announced 30 min before,Arrive 60 min early,8,15,Available
ER0039,Paris,Berlin,2026-05-23,Eurostar+DB,Eurostar 2231,Regional,Paris Gare de Lyon,Berlin Ostbahnhof,08:30,17:20,8h 50m,Connection,Prague,20m,110,380,121,96,93,66,EUR,Standard;Comfort,Yes,Limited,No,2 bags + 1 cabin bag,Refundable depending on fare,Free change,Guide dogs only,Announced 15 min before,Arrive 20 min early,21,15,Available
ER0040,Amsterdam,Brussels,2026-05-24,Eurostar,Eurostar 200,Regional,Amsterdam Centraal,Brussels Midi,17:05,20:04,2h 59m,Direct,None,None,87,250,84,65,68,40,EUR,Standard;First Class,Yes,Yes,Cafe bar,2 bags allowed,Refundable up to 24h,Flexible fare available,Pets not allowed,Announced 30 min before,Arrive 60 min early,35,0,Available
ER0041,Munich,Vienna,2026-05-17,ÖBB,Nightjet 3631,Regional,München Hbf,Wien Hbf,18:05,21:55,3h 50m,Direct,None,None,190,500,107,77,86,60,EUR,Economy;Business,Yes,Limited,Business only,1 cabin bag included,Refundable up to 24h,Free change,Pets not allowed,Announced 30 min before,Arrive 60 min early,15,0,Available
ER0042,London,Paris,2026-05-16,Eurostar,Eurostar 1280,Night Train,London St Pancras,Paris Gare de Lyon,18:00,23:20,5h 20m,Connection,Milan,60m,183,500,135,103,109,86,EUR,Second Class;First Class,Yes,Yes,Snack service,2 bags allowed,Refundable with fee,No change allowed,Pets not allowed,Announced 30 min before,Arrive 15 min early,29,0,Available
ER0043,Amsterdam,Brussels,2026-05-21,Eurostar,Eurostar 5556,High-Speed,Amsterdam Centraal,Brussels Midi,21:50,00:22,2h 32m,Direct,None,None,185,380,66,50,50,32,EUR,Economy;Business,Limited,No,No,Large baggage chargeable,Non-refundable,Flexible fare available,Small pets allowed,Announced 20 min before,Arrive 15 min early,34,5,Available
ER0044,Milan,Vienna,2026-05-20,Italo+ÖBB,Italo 8412,International,Milano Centrale,Wien Hbf,19:35,01:49,6h 14m,Direct,None,None,43,380,212,168,176,128,EUR,Economy;Business,Yes,No,No,2 bags + 1 cabin bag,Refundable up to 24h,No change allowed,Pets allowed,Announced 20 min before,Arrive 15 min early,36,20,Available
ER0045,Berlin,Amsterdam,2026-05-10,DB,EC 7272,Night Train,Berlin Ostbahnhof,Amsterdam Centraal,16:25,20:14,3h 49m,Direct,None,None,33,380,114,83,87,66,EUR,Economy;Business,Yes,Yes,No,2 bags + 1 cabin bag,Non-refundable,Flexible fare available,Pets not allowed,Announced 15 min before,Arrive 15 min early,23,0,Available
ER0046,Vienna,Zurich,2026-05-16,ÖBB,Railjet 8724,High-Speed,Wien Hbf,Zurich HB,21:25,22:59,1h 34m,Direct,None,None,11,300,153,114,137,73,EUR,Standard;First Class,Yes,Yes,No,Large baggage chargeable,Refundable with fee,Change with fee,Small pets allowed,Announced 30 min before,Arrive 20 min early,32,0,Limited
ER0047,Paris,Nice,2026-05-16,SNCF,OUIGO 7377,International,Paris Gare de l'Est,Nice-Ville,12:40,16:07,3h 27m,Direct,None,None,7,420,123,101,102,66,EUR,Second Class;First Class,Yes,Yes,No,2 bags + 1 cabin bag,Non-refundable,Free change,Pets not allowed,Announced 20 min before,Arrive 15 min early,37,10,Limited
ER0048,Paris,Barcelona,2026-05-14,SNCF,OUIGO 4569,High-Speed,Paris Montparnasse,Barcelona Sants,18:05,21:23,3h 18m,Connection,Zurich,20m,148,420,124,93,111,65,EUR,Standard;Comfort,Yes,Yes,Yes,1 cabin bag included,Refundable depending on fare,Change with fee,Pets not allowed,Announced 20 min before,Arrive 15 min early,9,0,Available
ER0049,Paris,Marseille,2026-05-14,SNCF,OUIGO 9091,Night Train,Paris Montparnasse,Marseille Saint-Charles,14:15,18:14,3h 59m,Direct,None,None,137,300,45,33,39,25,EUR,Economy;Business,Yes,Limited,Snack service,2 bags allowed,Non-refundable,Change with fee,Pets not allowed,Announced 15 min before,Arrive 15 min early,37,0,Available
ER0050,Barcelona,Paris,2026-05-11,SNCF,Intercités 7802,Regional,Barcelona Sants,Paris Montparnasse,16:20,00:07,7h 47m,Direct,None,None,113,250,134,108,115,63,EUR,Economy;Business,Limited,No,Cafe bar,2 bags + 1 cabin bag,Refundable up to 24h,No change allowed,Pets allowed,Announced 20 min before,Arrive 20 min early,6,0,Available
ER0051,Berlin,Prague,2026-05-24,DB+RegioJet,EC 7856,Intercity,Berlin Ostbahnhof,Praha hlavní nádraží,11:20,15:47,4h 27m,Connection,Lyon,50m,114,380,140,120,120,88,EUR,Second Class;First Class,Limited,Limited,No,1 cabin bag included,Refundable up to 24h,No change allowed,Pets allowed,Announced 20 min before,Arrive 20 min early,38,0,Available
ER0052,Frankfurt,Vienna,2026-05-15,DB+ÖBB,IC 7405,International,Frankfurt Hbf,Wien Hbf,19:25,00:38,5h 13m,Direct,None,None,131,380,99,81,86,45,EUR,Standard;Comfort,No,Yes,Yes,2 bags + 1 cabin bag,Refundable depending on fare,Free change,Small pets allowed,Announced 15 min before,Arrive 20 min early,27,10,Available
ER0053,Barcelona,Paris,2026-05-16,SNCF,OUIGO 7471,Night Train,Barcelona Sants,Paris Gare de l'Est,19:05,01:23,6h 18m,Direct,None,None,186,380,145,126,109,70,EUR,Standard;First Class,Yes,Limited,Snack service,2 bags + 1 cabin bag,Non-refundable,No change allowed,Small pets allowed,Announced 15 min before,Arrive 20 min early,8,0,Available
ER0054,Milan,Vienna,2026-05-12,Italo,Italo 5336,High-Speed,Milano Centrale,Wien Hbf,14:20,21:00,6h 40m,Direct,None,None,205,634,203,150,158,96,EUR,Standard;Comfort,No,Limited,Snack service,2 bags + 1 cabin bag,Refundable up to 24h,Free change,Guide dogs only,Announced 20 min before,Arrive 60 min early,37,15,Available
ER0055,Milan,Zurich,2026-05-22,SBB,IR 1308,High-Speed,Milano Centrale,Zurich HB,07:35,12:58,5h 23m,Direct,None,None,161,380,75,63,57,41,EUR,Economy;Business,Yes,Yes,Cafe bar,1 cabin bag included,Refundable with fee,Flexible fare available,Guide dogs only,Announced 15 min before,Arrive 30 min early,16,20,Available
ER0056,Vienna,Zurich,2026-05-14,ÖBB+SBB,Railjet 9796,International,Wien Hbf,Zurich HB,15:45,17:31,1h 46m,Connection,Paris,30m,19,250,96,79,83,51,EUR,Standard;Comfort,Yes,No,Cafe bar,Large baggage chargeable,Non-refundable,No change allowed,Pets allowed,Announced 30 min before,Arrive 15 min early,14,5,Limited
ER0057,Milan,Vienna,2026-05-16,Trenitalia,Frecciargento 2453,International,Milano Centrale,Wien Hbf,16:30,01:44,9h 14m,Direct,None,None,81,500,185,141,145,86,EUR,Second Class;First Class,Yes,Yes,Business only,1 cabin bag included,Refundable with fee,Change with fee,Pets not allowed,Announced 30 min before,Arrive 60 min early,35,0,Available
ER0058,Amsterdam,Brussels,2026-05-17,Eurostar,Eurostar 6542,Regional,Amsterdam Centraal,Brussels Midi,11:45,13:16,1h 31m,Direct,None,None,187,420,149,114,111,70,EUR,Standard;Comfort,Limited,Limited,Yes,Large baggage chargeable,Refundable up to 24h,Change with fee,Guide dogs only,Announced 30 min before,Arrive 30 min early,8,0,Available
ER0059,Barcelona,Lyon,2026-05-18,SNCF,TER 2046,Night Train,Barcelona Sants,Lyon Part-Dieu,17:25,01:36,8h 11m,Connection,Hamburg,50m,150,300,193,140,145,114,EUR,Second Class;First Class,Yes,Yes,Business only,1 cabin bag included,Refundable with fee,No change allowed,Guide dogs only,Announced 30 min before,Arrive 30 min early,36,15,Available
ER0060,Geneva,Paris,2026-05-18,SNCF,TER 7880,Night Train,Geneva Cornavin,Paris Gare de l'Est,15:50,18:11,2h 21m,Connection,Barcelona,20m,187,500,87,72,72,42,EUR,Second Class;First Class,Yes,Yes,Yes,2 bags allowed,Refundable with fee,Free change,Pets not allowed,Announced 20 min before,Arrive 60 min early,13,5,Available
ER0061,Milan,Zurich,2026-05-21,SBB,EuroCity 8321,Regional,Milano Centrale,Zurich HB,09:40,12:51,3h 11m,Direct,None,None,212,634,109,95,89,60,EUR,Second Class;First Class,Yes,Yes,Business only,1 cabin bag included,Refundable with fee,Flexible fare available,Guide dogs only,Announced 30 min before,Arrive 20 min early,35,0,Available
ER0062,Amsterdam,Berlin,2026-05-17,DB,EC 4580,Night Train,Amsterdam Centraal,Berlin Hbf,17:30,01:54,8h 24m,Direct,None,None,93,300,101,87,85,60,EUR,Standard;Comfort,No,Limited,Cafe bar,2 bags allowed,Refundable with fee,Change with fee,Pets allowed,Announced 30 min before,Arrive 20 min early,18,0,Available
ER0063,Paris,Brussels,2026-05-11,Eurostar,Eurostar 7839,Night Train,Paris Gare de Lyon,Brussels Midi,05:40,07:57,2h 17m,Direct,None,None,71,420,102,78,86,64,EUR,Economy;Business,No,Yes,Cafe bar,Large baggage chargeable,Refundable with fee,Free change,Pets not allowed,Announced 20 min before,Arrive 20 min early,22,0,Available
ER0064,Paris,Nice,2026-05-10,SNCF,TGV INOUI 5589,Intercity,Paris Gare de l'Est,Nice-Ville,21:35,00:08,2h 33m,Connection,Prague,45m,0,300,113,84,92,56,EUR,Standard;First Class,Yes,Limited,No,2 bags + 1 cabin bag,Refundable with fee,No change allowed,Pets not allowed,Announced 30 min before,Arrive 30 min early,9,0,Sold Out
ER0065,Rome,Milan,2026-05-20,Trenitalia,Frecciarossa 2403,International,Roma Termini,Milano Centrale,12:00,14:14,2h 14m,Direct,None,None,10,380,31,23,24,15,EUR,Standard;Comfort,Yes,No,No,1 cabin bag included,Refundable up to 24h,Flexible fare available,Guide dogs only,Announced 30 min before,Arrive 20 min early,18,5,Limited
ER0066,London,Paris,2026-05-17,Eurostar,Eurostar 6221,Intercity,London St Pancras,Paris Montparnasse,11:15,18:28,7h 13m,Connection,Berlin,75m,39,500,90,76,79,44,EUR,Standard;Comfort,No,No,Yes,2 bags + 1 cabin bag,Refundable depending on fare,Free change,Pets not allowed,Announced 15 min before,Arrive 60 min early,12,0,Available
ER0067,Geneva,Paris,2026-05-16,SNCF,TGV INOUI 9255,International,Geneva Cornavin,Paris Gare de l'Est,05:30,09:05,3h 35m,Connection,Brussels,30m,109,250,45,36,34,28,EUR,Standard;First Class,Yes,No,Cafe bar,2 bags + 1 cabin bag,Refundable depending on fare,Flexible fare available,Pets not allowed,Announced 20 min before,Arrive 60 min early,28,45,Available
ER0068,Paris,Berlin,2026-05-20,SNCF,TER 2043,Intercity,Paris Gare du Nord,Berlin Ostbahnhof,21:10,04:07,6h 57m,Connection,Lyon,45m,159,420,201,156,157,108,EUR,Standard;First Class,Yes,No,No,2 bags allowed,Refundable with fee,Change with fee,Pets allowed,Announced 15 min before,Arrive 15 min early,32,0,Available
ER0069,Munich,Vienna,2026-05-20,ÖBB,Railjet 824,Intercity,München Hbf,Wien Hbf,12:40,15:56,3h 16m,Connection,Lyon,35m,8,500,110,89,95,67,EUR,Economy;Business,Limited,Limited,Business only,2 bags allowed,Refundable with fee,No change allowed,Pets not allowed,Announced 15 min before,Arrive 30 min early,28,0,Limited
ER0070,Vienna,Prague,2026-05-15,ÖBB,Railjet 5013,Regional,Wien Hbf,Praha hlavní nádraží,20:15,04:54,8h 39m,Direct,None,None,257,634,108,84,87,60,EUR,Economy;Business,Yes,Yes,Snack service,1 cabin bag included,Refundable up to 24h,Change with fee,Pets allowed,Announced 20 min before,Arrive 60 min early,6,0,Available
ER0071,Paris,Amsterdam,2026-05-13,Eurostar,Eurostar 3522,Night Train,Paris Gare de l'Est,Amsterdam Centraal,05:15,08:17,3h 02m,Connection,Frankfurt,75m,72,300,130,112,108,78,EUR,Standard;Comfort,Yes,Limited,Business only,Large baggage chargeable,Refundable depending on fare,Free change,Pets not allowed,Announced 20 min before,Arrive 20 min early,27,0,Available
ER0072,Amsterdam,Berlin,2026-05-16,DB,EC 3725,Regional,Amsterdam Centraal,Berlin Hbf,13:40,20:04,6h 24m,Direct,None,None,70,420,157,122,137,86,EUR,Standard;Comfort,Limited,No,Snack service,2 bags + 1 cabin bag,Non-refundable,Change with fee,Small pets allowed,Announced 30 min before,Arrive 60 min early,15,5,Available
ER0073,Vienna,Munich,2026-05-20,ÖBB,Railjet 1317,International,Wien Hbf,München Hbf,18:10,02:46,8h 36m,Direct,None,None,21,250,146,115,110,84,EUR,Second Class;First Class,Yes,Yes,No,Large baggage chargeable,Refundable up to 24h,Free change,Guide dogs only,Announced 30 min before,Arrive 30 min early,5,30,Available
ER0074,Geneva,Paris,2026-05-23,SNCF,OUIGO 1853,Regional,Geneva Cornavin,Paris Gare du Nord,12:15,18:57,6h 42m,Direct,None,None,121,380,102,89,83,50,EUR,Standard;First Class,Yes,Yes,Snack service,Large baggage chargeable,Refundable depending on fare,No change allowed,Pets allowed,Announced 30 min before,Arrive 15 min early,14,10,Available
ER0075,Paris,Berlin,2026-05-17,Eurostar,Eurostar 8753,International,Paris Gare de Lyon,Berlin Hbf,11:55,19:56,8h 01m,Direct,None,None,55,250,78,67,62,50,EUR,Standard;First Class,Yes,Yes,No,2 bags + 1 cabin bag,Refundable depending on fare,Flexible fare available,Pets not allowed,Announced 30 min before,Arrive 20 min early,9,5,Available
ER0076,Geneva,Paris,2026-05-21,SNCF,TGV INOUI 1700,Night Train,Geneva Cornavin,Paris Gare du Nord,07:25,13:59,6h 34m,Connection,Zurich,50m,120,250,205,155,170,107,EUR,Second Class;First Class,Yes,Limited,Cafe bar,2 bags allowed,Refundable up to 24h,Flexible fare available,Small pets allowed,Announced 20 min before,Arrive 20 min early,28,0,Available
